code_insee,code_postal,eurocircos_name,comsimp_name,pref_related,latitude,longitude
38214,38660,Lumbin,Lumbin,Grenoble,45.316667,5.916667
38215,38200,Luzinay,Luzinay,Vienne,45.583333,4.95
38216,38470,Malleval,Malleval-en-Vercors,Grenoble,,
38217,38350,Marcieu,Marcieu,Grenoble,44.916667,5.683333
38218,38260,Marcilloles,Marcilloles,Vienne,45.333333,5.183333
38219,38270,Marcollin,Marcollin,Vienne,45.3,5.083333
38221,38980,Marnans,Marnans,Vienne,45.3,5.233333
38222,38620,Massieu,Massieu,La Tour-du-Pin,45.433333,5.583333
38223,38300,Maubec,Maubec,La Tour-du-Pin,45.566667,5.3
38224,38350,Mayres-Savel,Mayres-Savel,Grenoble,,
38225,38112,Méaudre,Autrans-Méaudre en Vercors,Grenoble,45.133333,5.533333
38226,38710,Mens,Mens,Grenoble,44.816667,5.75
38228,38620,Merlas,Merlas,La Tour-du-Pin,45.45,5.666667
38229,38240,Meylan,Meylan,Grenoble,45.233333,5.783333
38230,38300,Meyrié,Meyrié,La Tour-du-Pin,45.566667,5.283333
38231,38440,Meyrieu-les-Etangs,Meyrieu-les-Étangs,Vienne,,
38232,38440,Meyssiès,Meyssiez,Vienne,45.466667,5.05
38235,38450,Miribel-Lanchâtre,Miribel-Lanchâtre,Grenoble,44.966667,5.616667
38236,38380,Miribel-les-Echelles,Miribel-les-Échelles,Grenoble,45.416667,5.7
38237,38142,Mizoën,Mizoën,Grenoble,45.05,6.133333
38238,38440,Moidieu-Détourbe,Moidieu-Détourbe,Vienne,45.516667,5.016667
38239,38430,Moirans,Moirans,Grenoble,45.333333,5.566667
38240,38270,Moissieu-sur-Dolon,Moissieu-sur-Dolon,Vienne,45.383333,4.983333
38241,38970,Monestier-d'Ambel,Monestier-d'Ambel,Grenoble,44.783333,5.933333
38242,38650,Monestier-de-Clermont,Monestier-de-Clermont,Grenoble,44.9,5.633333
38243,38930,Le Monestier-du-Percy,Le Monestier-du-Percy,Grenoble,44.8,5.65
38244,38122,Monsteroux-Milieu,Monsteroux-Milieu,Vienne,45.433333,4.95
38245,38160,Montagne,Montagne,Grenoble,45.15,5.2
38246,38110,Montagnieu,Montagnieu,La Tour-du-Pin,45.516667,5.45
38247,38390,Montalieu-Vercieu,Montalieu-Vercieu,La Tour-du-Pin,45.816667,5.4
38248,38210,Montaud,Montaud,Grenoble,45.266667,5.566667
38249,38330,Montbonnot-Saint-Martin,Montbonnot-Saint-Martin,Grenoble,45.233333,5.8
38250,38890,Montcarra,Montcarra,La Tour-du-Pin,45.616667,5.383333
38252,38220,Montchaboud,Montchaboud,Grenoble,45.1,5.766667
38253,38860,Mont-de-Lans,Les Deux Alpes,Grenoble,45.033333,6.133333
38254,38770,Monteynard,Monteynard,Grenoble,44.966667,5.7
38255,38940,Montfalcon,Montfalcon,Vienne,45.25,5.166667
38256,38620,Montferrat,Montferrat,La Tour-du-Pin,45.483333,5.583333
38257,38690,Montrevel,Montrevel,La Tour-du-Pin,45.466667,5.4
38258,38120,Mont-Saint-Martin,Mont-Saint-Martin,Grenoble,45.266667,5.666667
38259,38122,Montseveroux,Montseveroux,Vienne,45.433333,4.966667
38260,38460,Moras,Moras,La Tour-du-Pin,,
38261,38510,Morestel,Morestel,La Tour-du-Pin,45.666667,5.466667
38263,38210,Morette,Morette,Grenoble,45.283333,5.45
38264,38350,La Morte,La Morte,Grenoble,45.033333,5.85
38265,38770,La Motte-d'Aveillans,La Motte-d'Aveillans,Grenoble,44.95,5.75
38266,38770,La Motte-Saint-Martin,La Motte-Saint-Martin,Grenoble,44.95,5.716667
38267,38260,Mottier,Mottier,Vienne,45.416667,5.316667
38268,38580,Le Moutaret,Le Moutaret,Grenoble,45.433333,6.083333
38269,38350,La Mure,La Mure,Grenoble,,
38270,38140,La Murette,La Murette,Grenoble,45.366667,5.533333
38271,38420,Murianette,Murianette,Grenoble,45.183333,5.816667
38272,38160,Murinais,Murinais,Grenoble,45.216667,5.316667
38273,38350,Nantes-en-Ratier,Nantes-en-Ratier,Grenoble,,
38274,38260,Nantoin,Nantoin,Vienne,45.433333,5.266667
38275,38470,Serre-Nerpol,Serre-Nerpol,Grenoble,,
38276,38300,Nivolas-Vermelle,Nivolas-Vermelle,La Tour-du-Pin,45.55,5.3
38277,38450,Notre-Dame-de-Commiers,Notre-Dame-de-Commiers,Grenoble,45.016667,5.7
38278,38470,Notre-Dame-de-l'Osier,Notre-Dame-de-l'Osier,Grenoble,45.233333,5.4
38279,38220,Notre-Dame-de-Mésage,Notre-Dame-de-Mésage,Grenoble,45.066667,5.766667
38280,38144,Notre-Dame-de-Vaux,Notre-Dame-de-Vaulx,Grenoble,44.983333,5.75
38281,38360,Noyarey,Noyarey,Grenoble,45.25,5.633333
38282,38460,Optevoz,Optevoz,La Tour-du-Pin,45.75,5.333333
38283,38350,Oris-en-Rattier,Oris-en-Rattier,Grenoble,44.916667,5.866667
38284,38260,Ornacieux,Ornacieux,Vienne,45.4,5.216667
38285,38520,Ornon,Ornon,Grenoble,45.05,5.983333
38286,38520,Oulles,Oulles,Grenoble,45.083333,5.983333
38287,38690,Oyeu,Oyeu,La Tour-du-Pin,45.416667,5.466667
38288,38780,Oytier-Saint-Oblas,Oytier-Saint-Oblas,Vienne,45.566667,5.016667
38289,38114,Oz,Oz,Grenoble,45.133333,6.05
38290,38270,Pact,Pact,Vienne,45.35,4.983333
